#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Unknown|00000000|Unknown|7181	SRA Sample SRR1803358 149																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2838	SRA Sample SRR3160439 822																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2139	SRA Sample SRR3160439 123																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2184	SRA Sample SRR3160439 168																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|545	SRA Sample SRR1568863 1																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|3669	SRA Sample SRR1804611 195																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|5972	SRA Sample ERR209862 11																			haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|47	SRA Sample ERR209793 25	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|6107	SRA Sample ERR209268 12																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|506	SRA Sample ERR1136666 34																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2226	SRA Sample SRR3160439 210																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|4632	SRA Sample SRR1805011 550																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|1941	SRA Sample ERR719114 1																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|4134	SRA Sample SRR1805011 52																			haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|72	SRA Sample ERR1190714 5	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|64	SRA Sample SRR3160438 64	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Unknown|00000000|Unknown|986	SRA Sample SRR4408002 116																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|1382	SRA Sample SRR1215680 2																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|5076	SRA Sample SRR1803333 1																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|7473	SRA Sample ERR688511 1																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|7498	SRA Sample SRR4305431 22																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|3442	SRA Sample ERR719158 1																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2523	SRA Sample SRR3160439 507																			haplotype called by gretel version 0.0.8											
