#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Unknown|00000000|Unknown|5420	SRA Sample SRR1805011 562																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|4283	SRA Sample SRR3160439 1334																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|3607	SRA Sample SRR3160439 658																			haplotype called by gretel version 0.0.8											
Bogota|20160412|Colombia|1	Maria Reyes Primer B 20160412	20160412	4.6500014,-74.0589398	B	4.6500014	-74.0589398				Colombia	Bogota		CorpoGen, Cra. 5 #66A-34, Bogota, Colombia 		Alejandro Reyes	Universidad de los Andes					1										
Montreal|20101118|Canada|67	SRA Sample SRR2565925 67	20101118	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Unknown|00000000|Unknown|7619	SRA Sample SRR1750095 2																			haplotype called by gretel version 0.0.8											
Montreal|20100428|Canada|4	SRA Sample SRR2565542 4	20100428	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Unknown|00000000|Unknown|6236	SRA Sample SRR1196455 2																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|1330	SRA Sample SRR4408002 195																			haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|97	SRA Sample ERR414263 2	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|3509	SRA Sample SRR3160439 560																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|7605	SRA Sample SRR1804181 2																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2264	SRA Sample SRR4305224 55																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|7572	SRA Sample SRR4408292 4																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|2747	SRA Sample SRR346703 149																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|6237	SRA Sample SRR1196455 3																			haplotype called by gretel version 0.0.8											
Unknown|00000000|Unknown|5917	SRA Sample SRR3713842 3																			haplotype called by gretel version 0.0.8											
