#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
NA|00000000|NA|8247	SRA Sample ERR1110353 8																			haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|191	SRA Sample ERR1190581 2	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
NA|00000000|NA|2779	SRA Sample SRR4305224 48																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|1490	SRA Sample SRR4408002 28																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|2733	SRA Sample SRR4305224 2																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|6703	SRA Sample SRR1804917 17																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|808	SRA Sample SRR038746 7																			haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|59	SRA Sample SRR3160438 59	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
NA|00000000|NA|3752	SRA Sample SRR3160439 335																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|8670	SRA Sample SRR646438 9																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|439	SRA Sample SRR341602 339																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|6308	SRA Sample SRR528358 2																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|8552	SRA Sample ERR1136664 2																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|6660	SRA Sample SRR3713840 47																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|8429	SRA Sample SRR061934 65																			haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|113	SRA Sample SRR1554402 56	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
NA|00000000|NA|10127	SRA Sample SRR061149 14																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|8209	SRA Sample SRR1490845 6																			haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|168	SRA Sample ERR1018206 142	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Independence|20060105|USA|4	SRA Sample ERR318680 1	20060105	37.09024,-95.712891		37.09024	-95.712891				USA	Independence									haplotype called by gretel version 0.0.8											
NA|00000000|NA|9170	SRA Sample SRR2674233 116																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|5944	SRA Sample SRR1805011 392																			haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|120	SRA Sample ERR209492 3	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
NA|00000000|NA|9713	SRA Sample SRR1803358 202																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|9389	SRA Sample SRR1803365 22																			haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|318	SRA Sample ERR1018206 292	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|411	SRA Sample ERR589821 17	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
NA|00000000|NA|9581	SRA Sample SRR1803358 70																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|2966	SRA Sample SRR2725850 45																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|1874	SRA Sample SRR4408002 412																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|4838	SRA Sample SRR1565827 3																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|644	SRA Sample SRR527904 2																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|3371	SRA Sample SRR346703 139																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|4627	SRA Sample SRR3160439 1210																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|5705	SRA Sample SRR1805011 153																			haplotype called by gretel version 0.0.8											
NA|00000000|NA|8459	SRA Sample SRR061934 95																			haplotype called by gretel version 0.0.8											
